Ont	Terms	Annotated	Significant	Expected	classic	Genes
BP	GO:0006812:Cation transport	1170	43	3.63	< 1e-30	ABCC8,ABCC9,ADRA1A,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CLCN3,HCN1,HCN3,HCN4,KCNA4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNK3,KCNN1,KCNN2,NPPA,PDE2A,PDE4D,PPARGC1A,PRKACA,RYR2,RYR3,SCN5A,SCN7A,SLC8A1,TGFB1,TRPC1
BP	GO:0034220:Ion transmembrane transport	1187	43	3.69	< 1e-30	ABCC8,ABCC9,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CLCN3,GJD3,HCN1,HCN3,HCN4,KCNA4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNK3,KCNN1,KCNN2,NPPA,PDE2A,PDE4D,PPARGC1A,PRKACA,RYR2,RYR3,SCN5A,SCN7A,SLC8A1,TGFB1,TRPC1
BP	GO:0034765:Regulation of ion transmembrane transport	483	34	1.5	< 1e-30	ADRB2,ATP1A2,ATP1B1,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,HCN1,HCN3,HCN4,KCNA4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNN2,NPPA,PDE4D,PPARGC1A,PRKACA,RYR2,SCN5A,SCN7A,SLC8A1,TGFB1,TRPC1
BP	GO:0006936:Muscle contraction	363	31	1.13	< 1e-30	ADRA1A,ADRA1B,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNB2,CAMK2D,CASQ2,CHRM2,HCN4,KCND3,KCNH2,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNN2,MYH6,NPPA,PDE4D,PRKACA,RYR2,SCN5A,SCN7A,SLC8A1
BP	GO:0006941:Striated muscle contraction	177	26	0.55	< 1e-30	ADRA1A,ADRA1B,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA2D1,CACNB2,CAMK2D,CASQ2,HCN4,KCND3,KCNH2,KCNJ3,KCNJ5,KCNJ8,KCNN2,MYH6,NPPA,PDE4D,PRKACA,RYR2,SCN5A,SLC8A1
BP	GO:0034762:Regulation of transmembrane transport	568	34	1.76	< 1e-30	ADRB2,ATP1A2,ATP1B1,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,HCN1,HCN3,HCN4,KCNA4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNN2,NPPA,PDE4D,PPARGC1A,PRKACA,RYR2,SCN5A,SCN7A,SLC8A1,TGFB1,TRPC1
BP	GO:0003008:System process	2222	49	6.9	< 1e-30	ABCC9,ADCY4,ADCY5,ADRA1A,ADRA1B,ADRB1,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CHRM2,COL1A1,GJD3,HCN4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNK3,KCNN2,MYH6,NPPA,PDE2A,PDE4D,PPARGC1A,PRKACA,PRKAR1A,PRKAR2A,PRKAR2B,RYR2,RYR3,SCN5A,SCN7A,SLC8A1,TBX3,TGFB1,TRPC1
BP	GO:0003012:Muscle system process	472	32	1.47	< 1e-30	ADRA1A,ADRA1B,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNB2,CAMK2D,CASQ2,CHRM2,HCN4,KCND3,KCNH2,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNN2,MYH6,NPPA,PDE4D,PPARGC1A,PRKACA,RYR2,SCN5A,SCN7A,SLC8A1
BP	GO:0002027:Regulation of heart rate	101	22	0.31	< 1e-30	ADRA1A,ADRB1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA2D1,CACNB2,CAMK2D,CASQ2,HCN4,KCND3,KCNH2,KCNJ3,KCNJ5,MYH6,NPPA,PDE4D,PRKACA,RYR2,SCN5A,SLC8A1
BP	GO:0086065:Cell communication involved in cardiac conduction	56	19	0.17	< 1e-30	ATP1A2,ATP1B1,CACNA1C,CACNA1D,CACNA1G,CACNA2D1,CACNB2,CAMK2D,CASQ2,GJD3,HCN4,KCNJ3,KCNJ5,KCNN2,PDE4D,PRKACA,RYR2,SCN5A,SLC8A1
BP	GO:0006811:Ion transport	1715	44	5.33	< 1e-30	ABCC8,ABCC9,ADRA1A,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CLCN3,GJD3,HCN1,HCN3,HCN4,KCNA4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNK3,KCNN1,KCNN2,NPPA,PDE2A,PDE4D,PPARGC1A,PRKACA,RYR2,RYR3,SCN5A,SCN7A,SLC8A1,TGFB1,TRPC1
BP	GO:0055085:Transmembrane transport	1594	43	4.95	< 1e-30	ABCC8,ABCC9,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CLCN3,GJD3,HCN1,HCN3,HCN4,KCNA4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNK3,KCNN1,KCNN2,NPPA,PDE2A,PDE4D,PPARGC1A,PRKACA,RYR2,RYR3,SCN5A,SCN7A,SLC8A1,TGFB1,TRPC1
BP	GO:0042391:Regulation of membrane potential	434	30	1.35	< 1e-30	ADRA1A,ADRB1,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNB2,CAMK2D,CASQ2,HCN1,HCN3,HCN4,KCND3,KCNH2,KCNJ11,KCNJ3,KCNJ5,KCNJ8,KCNK3,KCNN2,NPPA,RYR2,SCN5A,SCN7A,SLC8A1
BP	GO:0043269:Regulation of ion transport	699	34	2.17	< 1e-30	ADRB2,ATP1A2,ATP1B1,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,HCN1,HCN3,HCN4,KCNA4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNN2,NPPA,PDE4D,PPARGC1A,PRKACA,RYR2,SCN5A,SCN7A,SLC8A1,TGFB1,TRPC1
BP	GO:0001508:Action potential	133	22	0.41	< 1e-30	ADRA1A,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNB2,CAMK2D,HCN4,KCND3,KCNH2,KCNJ3,KCNJ5,KCNJ8,KCNN2,RYR2,SCN5A,SCN7A,SLC8A1
BP	GO:0086001:Cardiac muscle cell action potential	74	19	0.23	< 1e-30	ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA2D1,CACNB2,CAMK2D,HCN4,KCND3,KCNH2,KCNJ3,KCNJ5,KCNJ8,KCNN2,RYR2,SCN5A,SLC8A1
BP	GO:0086003:Cardiac muscle cell contraction	74	18	0.23	2.5e-30	ATP1A2,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA2D1,CACNB2,CAMK2D,HCN4,KCND3,KCNH2,KCNJ3,KCNJ5,KCNJ8,KCNN2,PDE4D,RYR2,SCN5A
BP	GO:0015672:Monovalent inorganic cation transport	535	29	1.66	1.2e-29	ABCC8,ABCC9,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1D,CAMK2D,CASQ2,CLCN3,HCN1,HCN3,HCN4,KCNA4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNK3,KCNN1,KCNN2,NPPA,SCN5A,SCN7A,SLC8A1,TGFB1
BP	GO:0065008:Regulation of biological quality	4052	52	12.59	2.4e-28	ABCC8,ADCY4,ADCY5,ADRA1A,ADRA1B,ADRB1,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CHRM2,CLCN3,COL1A1,COL3A1,HCN1,HCN3,HCN4,KCND3,KCNH2,KCNJ11,KCNJ3,KCNJ5,KCNJ8,KCNK3,KCNN2,MYH6,NPPA,PDE2A,PDE4D,PPARGC1A,PPARGC1B,PRKACA,PRKAR1A,PRKAR2A,PRKAR2B,RYR2,RYR3,SCN5A,SCN7A,SLC8A1,TBX3,TGFB1,TRPC1
BP	GO:0070252:Actin-mediated cell contraction	121	19	0.38	4.6e-28	ATP1A2,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA2D1,CACNB2,CAMK2D,HCN4,KCND3,KCNH2,KCNJ3,KCNJ5,KCNJ8,KCNN2,MYH6,PDE4D,RYR2,SCN5A
BP	GO:0030048:Actin filament-based movement	143	19	0.44	1.3e-26	ATP1A2,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA2D1,CACNB2,CAMK2D,HCN4,KCND3,KCNH2,KCNJ3,KCNJ5,KCNJ8,KCNN2,MYH6,PDE4D,RYR2,SCN5A
BP	GO:0071805:Potassium ion transmembrane transport	217	21	0.67	2.0e-26	ABCC8,ABCC9,ATP1A2,ATP1B1,CACNA1D,CASQ2,HCN1,HCN3,HCN4,KCNA4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNK3,KCNN1,KCNN2,NPPA
BP	GO:0051049:Regulation of transport	1878	39	5.83	1.2e-25	ABCC8,ADCY5,ADRA1A,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CHRM2,HCN1,HCN3,HCN4,KCNA4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNN2,NPPA,PDE4D,PPARGC1A,PRKACA,RYR2,SCN5A,SCN7A,SLC8A1,TGFB1,TRPC1
BP	GO:0006813:Potassium ion transport	240	21	0.75	1.8e-25	ABCC8,ABCC9,ATP1A2,ATP1B1,CACNA1D,CASQ2,HCN1,HCN3,HCN4,KCNA4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNK3,KCNN1,KCNN2,NPPA
BP	GO:0048878:Chemical homeostasis	1189	32	3.69	1.6e-23	ADCY4,ADCY5,ADRA1A,ADRA1B,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA2D1,CACNB2,CAMK2D,CASQ2,CLCN3,HCN4,KCNH2,KCNJ11,KCNK3,PDE4D,PPARGC1A,PRKACA,PRKAR1A,PRKAR2A,PRKAR2B,RYR2,RYR3,SCN5A,SCN7A,SLC8A1,TGFB1,TRPC1
BP	GO:0055117:Regulation of cardiac muscle contraction	82	15	0.25	2.9e-23	ADRA1A,ADRA1B,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CAMK2D,CASQ2,HCN4,NPPA,PDE4D,PRKACA,RYR2,SCN5A,SLC8A1
BP	GO:0086019:Cell-cell signaling involved in cardiac conduction	32	12	0.1	5.2e-23	CACNA1C,CACNA1D,CACNA1G,CACNA2D1,CACNB2,CASQ2,HCN4,KCNJ3,KCNJ5,KCNN2,RYR2,SCN5A
BP	GO:0070588:Calcium ion transmembrane transport	319	21	0.99	7.5e-23	ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,NPPA,PDE2A,PDE4D,PRKACA,RYR2,RYR3,SLC8A1,TGFB1,TRPC1
BP	GO:0086009:Membrane repolarization	50	13	0.16	1.9e-22	ATP1A2,ATP1B1,CACNA1D,CACNA2D1,CASQ2,KCND3,KCNH2,KCNJ3,KCNJ5,KCNJ8,KCNN2,NPPA,SCN5A
BP	GO:0032879:Regulation of localization	2853	42	8.86	2.6e-22	ABCC8,ADCY5,ADRA1A,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CHRM2,COL1A1,COL3A1,HCN1,HCN3,HCN4,KCNA4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNN2,NPPA,PDE4D,PPARGC1A,PRKACA,RYR2,RYR3,SCN5A,SCN7A,SLC8A1,TGFB1,TRPC1
BP	GO:1904062:Regulation of cation transmembrane transport	342	21	1.06	3.2e-22	ADRB2,ATP1A2,ATP1B1,CACNA1C,CACNA1D,CACNA2D1,CACNB2,CAMK2D,CASQ2,KCNH2,KCNJ11,KCNN2,NPPA,PDE4D,PPARGC1A,PRKACA,RYR2,SCN5A,SLC8A1,TGFB1,TRPC1
BP	GO:0086010:Membrane depolarization during action potential	37	12	0.11	4.2e-22	ATP1A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNB2,HCN4,KCNH2,SCN5A,SCN7A,SLC8A1
BP	GO:0006942:Regulation of striated muscle contraction	97	15	0.3	4.3e-22	ADRA1A,ADRA1B,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CAMK2D,CASQ2,HCN4,NPPA,PDE4D,PRKACA,RYR2,SCN5A,SLC8A1
BP	GO:1903779:Regulation of cardiac conduction	73	14	0.23	4.6e-22	ABCC9,ATP1A2,ATP1B1,ATP2A2,CAMK2D,CASQ2,KCNJ11,NPPA,PDE4D,PRKACA,RYR2,RYR3,SLC8A1,TRPC1
BP	GO:0086091:Regulation of heart rate by cardiac conduction	38	12	0.12	6.1e-22	CACNA1C,CACNA1D,CACNA1G,CACNA2D1,CACNB2,CAMK2D,HCN4,KCND3,KCNH2,KCNJ3,KCNJ5,SCN5A
BP	GO:0086002:Cardiac muscle cell action potential involved in contraction	56	13	0.17	1.0e-21	CACNA1C,CACNA1D,CACNA1G,CACNA2D1,CACNB2,KCND3,KCNH2,KCNJ3,KCNJ5,KCNJ8,KCNN2,RYR2,SCN5A
BP	GO:0006937:Regulation of muscle contraction	171	17	0.53	1.4e-21	ADRA1A,ADRA1B,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CAMK2D,CASQ2,CHRM2,HCN4,NPPA,PDE4D,PRKACA,RYR2,SCN5A,SLC8A1
BP	GO:0006816:Calcium ion transport	434	22	1.35	1.8e-21	ADRA1A,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,NPPA,PDE2A,PDE4D,PRKACA,RYR2,RYR3,SLC8A1,TGFB1,TRPC1
BP	GO:0019932:Second-messenger-mediated signaling	439	22	1.36	2.3e-21	ADCY4,ADCY5,ADRA1A,ADRA1B,ADRA1D,ADRB1,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CAMK2D,CASQ2,NPPA,PDE2A,PDE4D,PRKACA,PRKAR1A,PRKAR2A,PRKAR2B,RYR2,SLC8A1
BP	GO:0051239:Regulation of multicellular organismal process	3261	43	10.13	3.8e-21	ABCC9,ADRA1A,ADRA1B,ADRB1,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CHRM2,COL1A1,COL3A1,GJD3,HCN4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNK3,KCNN2,MYH6,NPPA,PDE4D,PPARGC1A,PPARGC1B,PRKACA,RYR2,RYR3,SCN5A,SLC8A1,TBX3,TGFB1,TRPC1
BP	GO:0070838:Divalent metal ion transport	479	22	1.49	1.5e-20	ADRA1A,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,NPPA,PDE2A,PDE4D,PRKACA,RYR2,RYR3,SLC8A1,TGFB1,TRPC1
BP	GO:0042592:Homeostatic process	1919	35	5.96	1.6e-20	ADCY4,ADCY5,ADRA1A,ADRA1B,ADRB1,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA2D1,CACNB2,CAMK2D,CASQ2,CLCN3,HCN4,KCNH2,KCNJ11,KCNK3,PDE4D,PPARGC1A,PPARGC1B,PRKACA,PRKAR1A,PRKAR2A,PRKAR2B,RYR2,RYR3,SCN5A,SCN7A,SLC8A1,TGFB1,TRPC1
BP	GO:0050801:Ion homeostasis	813	26	2.53	1.6e-20	ADCY5,ADRA1A,ADRA1B,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA2D1,CACNB2,CAMK2D,CASQ2,CLCN3,HCN4,KCNH2,KCNK3,PDE4D,PRKACA,RYR2,RYR3,SCN5A,SCN7A,SLC8A1,TGFB1,TRPC1
BP	GO:0072511:Divalent inorganic cation transport	486	22	1.51	2.0e-20	ADRA1A,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,NPPA,PDE2A,PDE4D,PRKACA,RYR2,RYR3,SLC8A1,TGFB1,TRPC1
BP	GO:0090257:Regulation of muscle system process	259	18	0.8	5.5e-20	ADRA1A,ADRA1B,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CAMK2D,CASQ2,CHRM2,HCN4,NPPA,PDE4D,PPARGC1A,PRKACA,RYR2,SCN5A,SLC8A1
BP	GO:0099622:Cardiac muscle cell membrane repolarization	42	11	0.13	3.8e-19	ATP1B1,CACNA1D,CACNA2D1,KCND3,KCNH2,KCNJ3,KCNJ5,KCNJ8,KCNN2,NPPA,SCN5A
BP	GO:0010644:Cell communication by electrical coupling	29	10	0.09	7.1e-19	ATP1A2,ATP1B1,CACNA1C,CAMK2D,CASQ2,GJD3,PDE4D,PRKACA,RYR2,SLC8A1
BP	GO:0051899:Membrane depolarization	91	13	0.28	9.5e-19	ATP1A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNB2,CAMK2D,HCN4,KCNH2,SCN5A,SCN7A,SLC8A1
BP	GO:0023052:Signaling	6673	53	20.73	9.8e-19	ABCC8,ABCC9,ADCY4,ADCY5,ADRA1A,ADRA1B,ADRA1D,ADRB1,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CHRM2,COL1A1,COL3A1,GJD3,HCN4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNK3,KCNN1,KCNN2,MYH6,NPPA,PDE2A,PDE4D,PPARGC1A,PPARGC1B,PRKACA,PRKAR1A,PRKAR2A,PRKAR2B,RYR2,RYR3,SCN5A,SCN7A,SLC8A1,TBX3,TGFB1,TRPC1
BP	GO:0006874:Cellular calcium ion homeostasis	458	20	1.42	3.2e-18	ADCY5,ADRA1A,ADRA1B,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA2D1,CACNB2,CAMK2D,CASQ2,KCNK3,PDE4D,PRKACA,RYR2,RYR3,SLC8A1,TGFB1,TRPC1
